MatchId,BotType,Result,TimeMs,TotalClicks
0159,RandomBot,DEFEAT,0,1
0160,RandomBot,DEFEAT,0,2
0161,RandomBot,DEFEAT,0,4
0162,RandomBot,DEFEAT,0,1
0163,RandomBot,DEFEAT,0,1
0164,RandomBot,DEFEAT,0,1
0165,RandomBot,DEFEAT,0,1
0166,RandomBot,DEFEAT,0,5
0167,RandomBot,DEFEAT,0,1
0168,RandomBot,DEFEAT,0,6
0169,RandomBot,DEFEAT,0,3
0170,RandomBot,DEFEAT,0,4
0171,RandomBot,DEFEAT,0,1
0172,RandomBot,DEFEAT,0,3
0173,RandomBot,DEFEAT,0,3
0174,RandomBot,DEFEAT,0,3
0175,RandomBot,DEFEAT,0,4
0176,RandomBot,DEFEAT,0,7
0177,RandomBot,DEFEAT,0,7
0178,RandomBot,DEFEAT,0,6
0179,RandomBot,DEFEAT,0,3
0180,RandomBot,DEFEAT,0,5
0181,RandomBot,DEFEAT,0,4
0182,RandomBot,DEFEAT,0,5
0183,RandomBot,DEFEAT,0,4
0184,RandomBot,DEFEAT,0,8
0185,RandomBot,DEFEAT,0,2
0186,RandomBot,DEFEAT,0,5
0187,RandomBot,DEFEAT,0,4
0188,RandomBot,DEFEAT,0,3
0189,RandomBot,DEFEAT,1,6
0190,RandomBot,VICTORY,0,6
0191,RandomBot,DEFEAT,0,3
0192,RandomBot,DEFEAT,0,4
0193,RandomBot,DEFEAT,0,4
0194,RandomBot,DEFEAT,0,11
0195,RandomBot,DEFEAT,0,2
0196,RandomBot,DEFEAT,0,4
0197,RandomBot,DEFEAT,0,5
0198,RandomBot,DEFEAT,0,2
0199,RandomBot,DEFEAT,0,3
0200,RandomBot,DEFEAT,0,2
0201,RandomBot,DEFEAT,0,4
0202,RandomBot,DEFEAT,0,7
0203,RandomBot,DEFEAT,0,7
0204,RandomBot,DEFEAT,0,13
0205,RandomBot,DEFEAT,0,1
0206,RandomBot,DEFEAT,0,4
0207,RandomBot,DEFEAT,0,1
0208,RandomBot,DEFEAT,0,6
0209,RandomBot,DEFEAT,0,6
0210,RandomBot,DEFEAT,0,2
0211,RandomBot,DEFEAT,0,4
0212,RandomBot,DEFEAT,0,4
0213,RandomBot,DEFEAT,0,4
0214,RandomBot,DEFEAT,0,4
0215,RandomBot,DEFEAT,0,2
0216,RandomBot,DEFEAT,0,4
0217,RandomBot,DEFEAT,0,3
0218,RandomBot,DEFEAT,0,8
0219,RandomBot,DEFEAT,0,4
0220,RandomBot,DEFEAT,0,2
0221,RandomBot,DEFEAT,0,6
0222,RandomBot,DEFEAT,0,1
0223,RandomBot,DEFEAT,0,5
0224,RandomBot,DEFEAT,0,8
0225,RandomBot,DEFEAT,0,2
0226,RandomBot,DEFEAT,0,1
0227,RandomBot,DEFEAT,0,9
0228,RandomBot,DEFEAT,0,4
0229,RandomBot,DEFEAT,0,9
0230,RandomBot,DEFEAT,1,4
0231,RandomBot,DEFEAT,0,5
0232,RandomBot,DEFEAT,0,9
0233,RandomBot,DEFEAT,0,4
0234,RandomBot,DEFEAT,0,3
0235,RandomBot,DEFEAT,0,2
0236,RandomBot,DEFEAT,0,3
0237,RandomBot,DEFEAT,0,5
0238,RandomBot,DEFEAT,0,3
0239,RandomBot,DEFEAT,0,11
0240,RandomBot,DEFEAT,0,5
0241,RandomBot,DEFEAT,0,5
0242,RandomBot,DEFEAT,0,7
0243,RandomBot,DEFEAT,0,4
0244,RandomBot,DEFEAT,0,4
0245,RandomBot,VICTORY,0,3
0246,RandomBot,DEFEAT,0,6
0247,RandomBot,DEFEAT,0,5
0248,RandomBot,DEFEAT,0,3
0249,RandomBot,DEFEAT,0,2
